MNM_MM_ID,MNM_MOVIE_ID,MNM_MOVIE_CATEGORY_ID,CREATE_DATE,CREATE_BY,UPDATE_DATE,UPDATE_BY,
1,1,1,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
2,1,2,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
3,1,3,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
4,1,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
5,1,5,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
6,2,1,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
7,2,3,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
8,2,5,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
9,3,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
10,3,6,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
11,4,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
12,4,7,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
13,4,6,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
14,5,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
15,6,16,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
16,6,8,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
17,6,9,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
18,7,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
19,7,6,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
20,8,1,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
21,8,3,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
22,9,16,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
23,10,16,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
24,10,1,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
25,10,9,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
26,11,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
27,11,7,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
28,11,6,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
29,12,4,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
30,12,10,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
31,13,1,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
32,13,2,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
33,13,3,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
34,14,7,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
35,15,16,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
36,15,1,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
37,15,6,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999,
