MNM_MOVIE_ID,MNM_MOVIE_NAME,MNM_MOVIE_NAME_EN,MNM_MOVIE_DESC,MNM_MOVIE_DESC_EN,MNM_MOVIE_IMG_PATH,MNM_MOVIE_TRAILER_PATH,MNM_MOVIE_MEDIA_PATH,CREATE_DATE,CREATE_BY,UPDATE_DATE,UPDATE_BY
1,Toy Story (1995),Toy Story (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
2,Jumanji (1995),Jumanji (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
3,Grumpier Old Men (1995),Grumpier Old Men (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
4,Waiting to Exhale (1995),Waiting to Exhale (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
5,Father of the Bride Part II (1995),Father of the Bride Part II (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
6,Heat (1995),Heat (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
7,Sabrina (1995),Sabrina (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
8,Tom and Huck (1995),Tom and Huck (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
9,Sudden Death (1995),Sudden Death (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
10,GoldenEye (1995),GoldenEye (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
11,"American President, The (1995)","American President, The (1995)",,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
13,Balto (1995),Balto (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
14,Nixon (1995),Nixon (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
15,Cutthroat Island (1995),Cutthroat Island (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
16,Casino (1995),Casino (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
17,Sense and Sensibility (1995),Sense and Sensibility (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
18,Four Rooms (1995),Four Rooms (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
20,Money Train (1995),Money Train (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
21,Get Shorty (1995),Get Shorty (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
22,Copycat (1995),Copycat (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
23,Assassins (1995),Assassins (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
24,Powder (1995),Powder (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
25,Leaving Las Vegas (1995),Leaving Las Vegas (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
26,Othello (1995),Othello (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
27,Now and Then (1995),Now and Then (1995),,,,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
