MNM_MOVIE_CATEGORY_ID,MNM_MOVIE_CATEGORY_NAME,MNM_MOVIE_CATEGORY_NAME_EN,MNM_MOVIE_CATEGORY_DESC,MNM_MOVIE_CATEGORY_DESC_EN,CREATE_DATE,CREATE_BY,UPDATE_DATE,UPDATE_BY
1,ผจญภัย,Adventure,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
2,อนิเมชั่น,Animation,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
3,สำหรับเด็ก,Children,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
4,ตลก,Comedy,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
5,แฟนตาซี,Fantasy,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
6,โรแมนติก,Romance,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
7,ดราม่า,Drama,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
8,อาชญากรรม,Crime,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
9,Thriller,Thriller,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
10,สยองขวัญ,Horror,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
11,วิทยาศาสตร์,Sci-Fi,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
12,ลึกลับ,Mystery,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
13,สารคดี,Documentary,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
14,IMAX,IMAX,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
15,สงคราม,War,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
16,แอคชั่น,Action,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
17,หนังตะวันตก,Western,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
18,ดนตรี,Musical,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
19,นัวร์,Film-Noir,,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
999,,(no genres listed),,,2017-05-01 00:00:00,1,2017-05-02 00:00:00,9999999
